total_notes,don_notes,ka_notes,big_don,big_ka,drumroll,balloon,note_density,note_variety,avg_spacing,min_spacing,spacing_variance,transition_rate,bpm_changes,time_sig_changes,max_bpm,min_bpm,avg_bpm,bpm_variance,gogo_proportion,gogo_note_density,regular_note_density,difficulty_name,difficulty_level,source_file
61,38,5,17,1,2,2,1.0517241379310345,6,44.53333333333333,8,1102.0822222222223,0.26229508196721313,1,2,119.0,114.0,116.5,6.25,0.06896551724137931,1.0,1.0555555555555556,Easy,1,charts/01 Pop\365-po no March\365-po no March.tja
390,206,174,6,4,2,1,8.666666666666666,6,5.002570694087404,3,23.416445833691295,0.5,0,2,76.0,76.0,76.0,0.0,0.2222222222222222,10.6,8.114285714285714,Oni,7,charts/01 Pop\366-Nichi\366-Nichi.tja
437,261,164,7,5,1,1,5.986301369863014,6,7.981651376146789,1,73.73360828213112,0.41876430205949655,3,2,166.0,62.5,122.75,1587.0625,0.2191780821917808,7.125,5.666666666666667,Oni,7,charts/01 Pop\920\920.tja
292,134,131,13,14,7,1,4.0,6,3.9553264604811,1,20.45504894840637,0.4178082191780822,3,2,166.0,62.5,122.75,1587.0625,0.2191780821917808,5.0,3.719298245614035,Hard,5,charts/01 Pop\920\920.tja
158,81,51,16,10,7,1,2.164383561643836,6,3.656050955414013,1,8.658769118422654,0.24050632911392406,3,2,166.0,62.5,122.75,1587.0625,0.2191780821917808,2.375,2.1052631578947367,Normal,4,charts/01 Pop\920\920.tja
97,65,14,12,6,7,1,1.3287671232876712,6,5.979166666666667,2,11.18706597222222,0.3402061855670103,3,2,166.0,62.5,122.75,1587.0625,0.2191780821917808,1.625,1.2456140350877194,Easy,2,charts/01 Pop\920\920.tja
253,171,82,0,0,2,0,8.724137931034482,3,5.226190476190476,3,27.19883786848073,0.4901185770750988,0,0,90.0,90.0,90.0,0.0,0.27586206896551724,9.875,8.285714285714286,Oni,5,charts/01 Pop\A Perfect Sky\A Perfect Sky.tja
217,129,88,0,0,2,0,7.482758620689655,3,2.2546296296296298,1,4.430534122085048,0.15207373271889402,0,0,90.0,90.0,90.0,0.0,0.27586206896551724,8.625,7.0476190476190474,Hard,6,charts/01 Pop\A Perfect Sky\A Perfect Sky.tja
143,86,55,0,2,2,0,4.931034482758621,4,3.084507042253521,1,7.894267010513788,0.23776223776223776,0,0,90.0,90.0,90.0,0.0,0.27586206896551724,4.875,4.9523809523809526,Normal,5,charts/01 Pop\A Perfect Sky\A Perfect Sky.tja
71,37,34,0,0,5,0,2.4482758620689653,3,6.257142857142857,2,34.248163265306125,0.4084507042253521,0,0,90.0,90.0,90.0,0.0,0.27586206896551724,3.875,1.9047619047619047,Easy,4,charts/01 Pop\A Perfect Sky\A Perfect Sky.tja
461,208,235,9,9,0,0,6.681159420289855,4,2.365217391304348,1,4.057920604914934,0.7288503253796096,0,0,143.0,143.0,143.0,0.0,0.11594202898550725,8.0,6.508196721311475,Oni,6,charts/01 Pop\Agent J\Agent J.tja
207,156,45,6,0,1,0,3.0,4,7.922330097087379,3,41.741540201715516,0.23671497584541062,0,0,143.0,143.0,143.0,0.0,0.11594202898550725,4.0,2.8688524590163933,Normal,4,charts/01 Pop\Agent J\Agent J.tja
136,111,13,6,6,1,0,1.9710144927536233,5,12.088888888888889,6,55.9920987654321,0.27205882352941174,0,0,143.0,143.0,143.0,0.0,0.11594202898550725,2.75,1.8688524590163935,Easy,4,charts/01 Pop\Agent J\Agent J.tja
581,315,225,34,7,0,0,8.420289855072463,4,2.182758620689655,1,2.9665992865636146,0.48881239242685026,0,0,132.0,132.0,132.0,0.0,0.11594202898550725,8.25,8.442622950819672,Oni,8,charts/01 Pop\Age♂Age♂EVERY☆Knight\Age Age EVERY Knight.tja
422,267,116,32,7,2,0,6.115942028985507,5,2.5748218527315916,1,4.00687199914241,0.23459715639810427,0,0,132.0,132.0,132.0,0.0,0.11594202898550725,6.375,6.081967213114754,Hard,6,charts/01 Pop\Age♂Age♂EVERY☆Knight\Age Age EVERY Knight.tja
210,125,43,36,6,3,0,3.0434782608695654,5,2.5933014354066986,1,3.714979052677365,0.2714285714285714,0,0,132.0,132.0,132.0,0.0,0.11594202898550725,3.875,2.9344262295081966,Normal,4,charts/01 Pop\Age♂Age♂EVERY☆Knight\Age Age EVERY Knight.tja
160,90,25,35,10,3,0,2.318840579710145,5,3.408805031446541,1,4.20394762865393,0.3,0,0,132.0,132.0,132.0,0.0,0.11594202898550725,2.5,2.2950819672131146,Easy,3,charts/01 Pop\Age♂Age♂EVERY☆Knight\Age Age EVERY Knight.tja
431,228,171,18,14,3,2,5.597402597402597,6,7.832558139534884,1,71.63242833964304,0.4222737819025522,0,2,170.0,170.0,170.0,0.0,0.09090909090909091,8.0,5.357142857142857,Oni,7,charts/01 Pop\Ahoy!! Warera Houshou Kaizokudan☆\Ahoy!! Warera Houshou Kaizokudan.tja
307,149,126,19,13,4,2,3.987012987012987,6,11.212418300653594,1,179.95814643940366,0.5342019543973942,0,2,170.0,170.0,170.0,0.0,0.09090909090909091,5.714285714285714,3.8142857142857145,Hard,5,charts/01 Pop\Ahoy!! Warera Houshou Kaizokudan☆\Ahoy!! Warera Houshou Kaizokudan.tja
200,110,58,19,13,4,2,2.5974025974025974,6,17.4321608040201,1,312.23534759223253,0.425,0,2,170.0,170.0,170.0,0.0,0.09090909090909091,4.0,2.4571428571428573,Normal,4,charts/01 Pop\Ahoy!! Warera Houshou Kaizokudan☆\Ahoy!! Warera Houshou Kaizokudan.tja
116,76,16,15,9,4,2,1.5064935064935066,6,30.53913043478261,1,926.9093383742911,0.33620689655172414,0,2,170.0,170.0,170.0,0.0,0.09090909090909091,2.2857142857142856,1.4285714285714286,Easy,3,charts/01 Pop\Ahoy!! Warera Houshou Kaizokudan☆\Ahoy!! Warera Houshou Kaizokudan.tja
270,169,95,3,3,1,4,3.857142857142857,6,8.988847583643123,1,93.94411354182503,0.6111111111111112,0,2,170.0,170.0,170.0,0.0,0.45714285714285713,4.78125,3.0789473684210527,Oni,6,charts/01 Pop\Ai no Hana\Ai no Hana.tja
153,91,44,15,3,3,3,2.1857142857142855,6,16.644736842105264,1,234.53168282548472,0.39869281045751637,0,2,170.0,170.0,170.0,0.0,0.45714285714285713,2.59375,1.8421052631578947,Hard,2,charts/01 Pop\Ai no Hana\Ai no Hana.tja
70,48,14,7,1,3,3,1.0,6,37.768115942028984,1,657.9752152909052,0.32857142857142857,0,2,170.0,170.0,170.0,0.0,0.45714285714285713,1.15625,0.868421052631579,Normal,2,charts/01 Pop\Ai no Hana\Ai no Hana.tja
55,37,10,7,1,3,3,0.7857142857142857,6,48.46296296296296,1,1185.6930727023318,0.3090909090909091,0,2,170.0,170.0,170.0,0.0,0.45714285714285713,1.03125,0.5789473684210527,Easy,2,charts/01 Pop\Ai no Hana\Ai no Hana.tja
184,105,73,6,0,3,0,6.344827586206897,4,7.278688524590164,3,23.446922870196172,0.41847826086956524,2,0,90.0,88.0,89.0,0.6666666666666666,0.27586206896551724,7.625,5.857142857142857,Oni,4,charts/01 Pop\Ai no Katachi\Ai no Katachi.tja
125,80,38,6,1,3,0,4.032258064516129,5,10.741935483870968,2,65.5140478668054,0.28,2,0,90.0,88.0,89.0,0.6666666666666666,0.25806451612903225,4.5,3.869565217391304,Hard,3,charts/01 Pop\Ai no Katachi\Ai no Katachi.tja
73,38,25,10,0,3,0,2.3548387096774195,4,18.583333333333332,6,111.15972222222224,0.4246575342465753,2,0,90.0,88.0,89.0,0.6666666666666666,0.25806451612903225,2.875,2.1739130434782608,Normal,2,charts/01 Pop\Ai no Katachi\Ai no Katachi.tja
61,38,13,10,0,1,0,1.967741935483871,4,22.3,6,127.31000000000002,0.3770491803278688,2,0,90.0,88.0,89.0,0.6666666666666666,0.25806451612903225,2.625,1.7391304347826086,Easy,1,charts/01 Pop\Ai no Katachi\Ai no Katachi.tja
209,136,71,2,0,3,0,7.7407407407407405,4,5.509615384615385,3,30.48067677514793,0.4258373205741627,0,0,75.0,75.0,75.0,0.0,0.37037037037037035,8.8,7.117647058823529,Oni,5,charts/01 Pop\Ai no Uta\Ai no Uta.tja
139,86,51,2,0,2,0,5.148148148148148,4,2.7681159420289854,1,5.844780508296577,0.5683453237410072,0,0,75.0,75.0,75.0,0.0,0.37037037037037035,6.3,4.470588235294118,Hard,4,charts/01 Pop\Ai no Uta\Ai no Uta.tja
82,53,27,2,0,2,0,3.1538461538461537,4,14.074074074074074,6,109.47599451303154,0.3902439024390244,0,0,75.0,75.0,75.0,0.0,0.34615384615384615,3.5555555555555554,2.9411764705882355,Normal,3,charts/01 Pop\Ai no Uta\Ai no Uta.tja
57,47,9,1,0,2,0,2.1923076923076925,4,20.142857142857142,12,154.83673469387753,0.21052631578947367,0,0,75.0,75.0,75.0,0.0,0.34615384615384615,2.6666666666666665,1.9411764705882353,Easy,2,charts/01 Pop\Ai no Uta\Ai no Uta.tja
259,190,66,1,2,2,0,7.194444444444445,5,6.3023255813953485,3,16.303948080043263,0.47104247104247104,0,2,81.0,81.0,81.0,0.0,0.2222222222222222,8.75,6.75,Oni,5,charts/01 Pop\Ai o Komete Hanataba o\Ai o Komete Hanataba o.tja
202,137,54,9,2,2,0,5.611111111111111,5,2.6965174129353233,1,4.609390856661963,0.5594059405940595,0,2,81.0,81.0,81.0,0.0,0.2222222222222222,5.875,5.535714285714286,Hard,4,charts/01 Pop\Ai o Komete Hanataba o\Ai o Komete Hanataba o.tja
106,81,15,10,0,2,0,2.9444444444444446,4,2.552380952380952,1,2.971065759637189,0.3490566037735849,0,2,81.0,81.0,81.0,0.0,0.2222222222222222,3.625,2.75,Normal,2,charts/01 Pop\Ai o Komete Hanataba o\Ai o Komete Hanataba o.tja
80,55,15,10,0,2,0,2.2222222222222223,4,3.392405063291139,2,4.592853709341451,0.1375,0,2,81.0,81.0,81.0,0.0,0.2222222222222222,2.875,2.0357142857142856,Easy,2,charts/01 Pop\Ai o Komete Hanataba o\Ai o Komete Hanataba o.tja
487,294,186,1,6,0,0,8.543859649122806,4,1.868312757201646,1,1.377720198479229,0.5359342915811088,0,0,122.0,122.0,122.0,0.0,0.21052631578947367,9.166666666666666,8.377777777777778,Oni,7,charts/01 Pop\Ai Qing 36 Ji\Ai Qing 36 Ji.tja
376,296,73,1,6,0,0,6.5964912280701755,4,2.421333333333333,1,2.734478222222222,0.30851063829787234,0,0,122.0,122.0,122.0,0.0,0.21052631578947367,7.333333333333333,6.4,Hard,6,charts/01 Pop\Ai Qing 36 Ji\Ai Qing 36 Ji.tja
168,113,48,6,1,0,0,2.9473684210526314,4,2.7065868263473054,1,1.5366632005450178,0.3273809523809524,0,0,122.0,122.0,122.0,0.0,0.21052631578947367,3.0,2.933333333333333,Normal,4,charts/01 Pop\Ai Qing 36 Ji\Ai Qing 36 Ji.tja
128,115,9,3,1,1,0,2.245614035087719,5,3.559055118110236,1,3.6165912331824663,0.1484375,0,0,122.0,122.0,122.0,0.0,0.21052631578947367,2.3333333333333335,2.2222222222222223,Easy,4,charts/01 Pop\Ai Qing 36 Ji\Ai Qing 36 Ji.tja
392,194,167,21,10,0,0,6.6440677966101696,4,2.3324808184143224,1,4.3191240245681275,0.5204081632653061,0,0,125.0,125.0,125.0,0.0,0.2711864406779661,7.875,6.186046511627907,Oni,7,charts/01 Pop\Ai wa Katsu\Ai wa Katsu.tja
302,150,125,22,5,1,0,5.11864406779661,5,3.0299003322259135,1,6.600434873787263,0.5960264900662252,0,0,125.0,125.0,125.0,0.0,0.2711864406779661,5.5,4.976744186046512,Hard,5,charts/01 Pop\Ai wa Katsu\Ai wa Katsu.tja
202,123,61,15,3,2,0,3.4237288135593222,5,2.2686567164179103,1,3.101952921957377,0.4752475247524752,0,0,125.0,125.0,125.0,0.0,0.2711864406779661,3.4375,3.4186046511627906,Normal,5,charts/01 Pop\Ai wa Katsu\Ai wa Katsu.tja
139,88,35,14,2,2,0,2.3559322033898304,5,3.3043478260869565,2,4.675488342785129,0.4244604316546763,0,0,125.0,125.0,125.0,0.0,0.2711864406779661,2.5625,2.2790697674418605,Easy,3,charts/01 Pop\Ai wa Katsu\Ai wa Katsu.tja
396,204,182,6,4,8,0,7.2,5,6.425316455696202,1,34.593789456817824,0.648989898989899,0,2,128.0,128.0,128.0,0.0,0.14545454545454545,8.125,7.042553191489362,Oni,7,charts/01 Pop\AIAIAI\AIAIAI.tja
255,132,112,6,5,8,0,4.636363636363637,5,10.165354330708661,1,82.32698865397731,0.48627450980392156,0,2,128.0,128.0,128.0,0.0,0.14545454545454545,4.875,4.595744680851064,Hard,4,charts/01 Pop\AIAIAI\AIAIAI.tja
126,81,35,8,2,8,0,2.290909090909091,5,21.344,1,306.72166400000003,0.30952380952380953,0,2,128.0,128.0,128.0,0.0,0.14545454545454545,2.625,2.234042553191489,Normal,3,charts/01 Pop\AIAIAI\AIAIAI.tja
